description.year_built,description.sold_price,description.baths,description.garage,description.stories,description.beds,num_days,central_air,dishwasher,fireplace,basement,price_per_sqft,median_value_per_sqft,description.type_encoded,city_encoded
1999,505000,3,2,2,4,121,1,0,0,0,196,0,1,18
2006,335000,3,2,1,6,67,1,1,0,0,108,0,1,12
1925,487000,2,1,1,3,46,0,1,0,1,275,3,1,16
1988,355000,4,2,2,6,39,1,1,0,1,127,0,1,34
2006,345000,2,1,1,3,117,0,1,0,0,154,1,1,12
2007,487000,3,2,2,3,207,1,1,1,0,211,2,1,58
1972,415000,5,1,2,4,87,0,0,1,1,113,0,1,22
1940,62500,1,1,1,2,31,0,0,0,1,76,0,1,32
2020,515000,4,2,2,3,64,1,0,1,1,219,3,1,66
2016,275000,2,1,1,3,30,0,1,0,0,184,1,1,22
1958,629000,3,2,1,4,39,1,1,1,1,254,1,1,39
1973,349500,1,1,2,3,62,1,0,0,1,325,3,1,39
1981,498500,2,2,1,3,188,1,0,0,0,220,2,1,58
1922,172000,2,1,1,2,39,1,1,0,1,159,0,1,17
1971,575000,3,2,1,3,106,0,0,1,0,307,1,1,9
1980,310000,1,1,1,1,49,1,0,0,0,414,1,1,53
1966,125000,1,1,1,3,52,0,0,0,0,107,0,1,22
1997,459900,4,1,3,3,54,1,1,1,1,218,2,0,3
1982,328500,1,1,1,1,44,1,1,1,0,386,1,0,16
1890,585000,2,1,1,3,71,0,1,0,1,472,1,0,8
2009,490000,3,2,1,3,41,1,1,1,0,194,1,1,62
1991,234900,2,2,1,3,56,1,1,1,0,188,0,1,62
1973,220000,2,1,1,3,108,1,0,0,0,154,0,1,41
2000,383000,3,1,2,3,49,1,1,1,0,248,1,1,53
1958,465000,2,1,3,3,76,1,0,0,0,287,4,1,26
2008,635000,2,1,1,2,45,1,0,0,0,326,5,0,3
1938,195000,1,1,2,4,60,0,0,0,1,129,0,1,28
1964,160000,1,1,1,3,14,0,0,0,0,124,0,1,54
1978,599000,3,1,2,4,173,1,1,1,1,276,0,1,3
1989,640000,2,2,2,2,86,1,0,1,1,242,2,2,34
1999,509000,3,2,2,3,46,1,1,1,0,218,1,1,53
1940,63000,2,3,1,4,42,0,0,0,0,28,0,1,36
2010,705000,3,2,1,3,164,1,1,0,0,414,2,0,7
1948,330000,1,1,1,2,64,0,0,1,1,184,4,1,58
1917,153000,1,2,1,2,57,1,0,0,1,190,0,1,17
1984,220000,2,2,1,3,43,1,0,1,0,166,1,1,47
2007,289000,3,2,1,2,-4,1,0,0,0,148,2,0,19
1958,115000,1,2,1,3,73,1,0,1,0,95,0,1,13
1955,86000,2,1,1,3,68,0,0,0,0,63,0,1,10
2000,396500,3,2,2,4,120,0,0,1,0,169,1,1,36
1962,153000,2,2,1,3,93,1,1,1,0,104,0,1,47
2010,670000,2,3,1,1,106,1,1,0,0,509,2,0,7
1968,395000,3,2,1,3,44,0,1,0,1,147,3,1,39
1966,784000,3,2,1,4,94,1,1,1,1,287,4,1,16
2000,709900,2,2,1,3,85,1,1,1,0,328,3,1,49
1953,283500,1,1,1,3,92,1,1,0,1,277,0,1,0
2002,339000,2,3,1,3,114,1,1,1,0,139,1,1,20
1955,390000,2,1,1,3,73,0,0,0,0,238,4,1,50
2020,335000,3,1,2,3,73,1,1,0,0,213,1,1,54
2016,490000,3,2,3,2,35,1,1,0,0,337,1,0,56
1934,250000,1,1,1,2,23,0,0,0,0,378,0,1,9
2021,669000,4,3,1,5,35,1,0,1,1,199,0,1,34
1938,440000,1,1,2,2,41,0,1,1,0,364,1,1,49
1980,250000,2,1,1,3,58,1,0,0,0,253,0,1,18
1989,475000,3,1,2,4,35,1,1,1,0,252,0,1,30
1984,395000,2,1,1,2,35,1,1,0,0,411,3,0,16
1931,310000,1,1,1,1,91,0,0,0,1,434,0,0,16
1987,655000,2,2,1,3,0,1,0,1,0,283,3,1,31
1981,158000,1,1,1,3,54,1,0,0,0,121,0,1,31
1977,370000,1,2,1,3,124,0,0,0,0,355,2,1,58
1985,225000,2,1,2,3,32,1,1,1,0,142,0,2,7
2005,525000,2,1,1,2,218,1,1,0,0,323,1,0,53
1930,277875,2,1,1,4,75,0,1,1,1,170,1,1,0
2005,235000,2,2,1,3,0,1,0,1,0,158,1,1,31
1969,328350,3,2,2,4,85,1,1,1,1,119,0,1,34
1993,330000,4,2,2,4,46,1,0,1,1,129,1,1,31
1991,244500,2,1,1,2,31,1,1,1,0,208,1,2,62
1966,260000,3,2,1,3,34,0,1,1,1,113,1,1,22
2005,400000,4,2,3,4,78,1,0,1,0,222,1,0,64
1993,340000,3,3,1,3,70,1,0,1,0,123,1,1,67
1949,360000,1,1,1,2,92,1,1,0,0,455,3,1,16
1958,65000,1,1,3,2,84,0,0,0,0,99,0,0,29
1968,655000,3,2,2,4,141,0,1,1,0,195,3,1,16
1966,295000,2,1,1,3,125,1,1,1,0,203,1,1,62
1960,223000,1,1,1,3,63,1,1,1,0,126,1,1,47
1955,62000,2,3,1,2,219,0,0,0,0,68,1,1,10
1992,470000,2,2,1,3,105,0,1,1,0,290,2,1,49
1943,305000,2,1,1,3,-4,0,0,0,0,220,1,1,36
1965,220000,1,1,1,1,41,1,1,0,0,279,0,0,7
1900,285000,2,1,2,3,99,0,0,0,1,192,2,2,26
1910,550000,1,1,1,2,63,0,1,0,1,521,3,0,8
1966,138000,1,1,1,3,104,0,0,0,0,138,0,1,22
2019,460000,3,2,2,3,35,1,1,0,0,260,1,1,62
1988,194900,2,1,2,2,43,1,1,0,0,203,1,2,62
1978,270000,2,2,1,2,112,1,1,1,0,196,5,0,39
1979,364900,1,1,1,2,149,0,1,1,0,315,0,1,49
1929,110000,1,1,2,2,25,0,0,1,1,124,0,1,32
1995,651000,3,4,1,3,32,1,1,1,1,184,5,1,39
1994,689900,2,3,1,4,66,0,0,1,0,283,1,1,9
2001,460000,2,2,1,3,91,0,0,0,0,343,1,1,9
2006,280000,2,1,1,2,145,1,0,1,0,221,0,0,53
1973,440000,2,2,1,3,147,0,0,1,0,224,1,1,9
1983,314000,2,1,3,1,30,1,1,1,1,289,0,2,3
1960,340000,4,1,2,4,59,0,1,1,1,100,0,1,22
2023,380000,3,3,1,4,65,1,1,1,0,183,1,1,67
1920,670000,3,1,1,8,52,0,1,1,1,226,0,1,8
1946,345000,1,1,1,2,135,0,0,1,0,323,1,1,9
1964,465000,2,2,1,3,65,0,0,1,0,270,1,1,9
1920,320000,2,2,2,6,47,0,0,0,1,155,0,1,52
1930,150000,1,1,1,3,46,1,1,0,0,130,0,1,12
1960,95000,1,1,1,3,30,1,0,0,0,102,0,1,47
2003,162450,1,1,1,3,144,0,1,0,1,161,0,1,32
1977,360000,4,2,2,3,41,1,1,1,0,101,1,1,47
1971,205000,2,1,1,3,27,1,1,1,1,183,0,1,28
1923,350500,1,1,1,2,63,1,0,1,1,214,5,1,58
1954,120000,1,1,1,3,45,1,1,0,0,138,0,1,2
1993,498000,2,2,1,3,47,0,0,1,0,368,5,1,50
2013,810000,3,4,2,3,109,0,1,1,1,269,2,1,20
1907,200000,2,1,3,5,91,0,0,0,1,101,0,2,64
1977,369900,2,2,1,3,65,0,0,1,0,273,2,1,58
1951,250000,1,1,1,2,56,1,1,0,1,252,1,1,57
1965,69750,1,1,10,1,17,1,1,0,0,107,0,0,29
1989,402000,4,1,2,4,51,1,1,0,1,91,1,1,32
1964,106000,2,1,1,4,74,1,0,0,0,45,1,1,43
2003,222000,2,1,1,3,52,0,0,1,0,132,1,1,36
1940,575000,4,1,2,3,113,0,1,1,1,232,2,1,54
1981,285000,1,1,1,2,116,0,1,0,0,274,5,0,39
1954,149900,1,1,1,3,30,1,1,1,0,86,0,1,43
1974,570000,2,2,2,4,68,0,0,0,0,246,0,1,49
2004,195000,2,1,1,3,133,0,1,0,0,138,1,1,22
2005,275000,3,1,2,3,159,1,0,0,0,158,0,2,18
1998,480000,5,1,2,5,35,1,1,0,1,97,1,1,32
1976,269000,3,2,2,3,42,1,1,0,1,149,0,1,34
1963,309900,3,2,1,4,67,1,0,1,0,136,1,1,47
1982,375000,3,1,2,3,71,0,1,1,0,226,0,1,53
1965,144000,1,1,2,2,86,0,1,0,1,146,1,2,57
1968,470000,3,2,2,3,91,0,1,1,1,220,2,1,49
2004,874900,6,2,2,5,93,1,1,1,0,200,1,1,53
1910,280000,2,1,2,3,125,1,0,0,1,218,0,1,64
1967,185000,2,1,1,3,80,1,1,0,1,77,0,1,32
2003,430000,3,1,2,3,81,0,1,1,0,317,2,1,49
2020,415000,3,2,2,3,77,0,0,0,0,273,0,2,9
2002,650000,3,2,1,3,26,1,1,1,0,308,1,0,53
1993,269000,2,2,1,3,42,1,0,1,0,139,1,1,31
1979,205000,2,1,1,3,128,1,0,1,0,191,0,1,53
1976,229900,1,1,1,2,159,1,1,0,0,201,4,0,39
1925,132000,2,1,1,4,110,1,0,0,1,60,0,1,10
1960,250000,2,1,2,3,61,1,0,0,1,108,0,1,18
1897,222000,3,1,2,4,71,0,1,1,1,128,0,1,57
2016,980000,4,1,2,4,0,0,0,1,0,263,2,1,36
1880,230000,1,2,1,2,82,1,1,1,1,208,2,0,29
2001,209000,2,2,1,3,46,1,1,1,0,150,1,1,47
2003,272500,2,3,1,3,81,1,1,1,0,125,1,1,47
2005,515000,2,2,1,3,159,0,0,1,0,278,1,1,9
1966,154000,1,1,1,2,83,1,0,0,0,194,0,0,7
1953,226500,2,1,1,3,137,0,1,0,1,199,1,1,57
1956,420000,2,2,1,4,39,1,0,1,1,217,0,1,60
1981,148800,2,1,2,3,20,0,1,0,1,90,0,1,32
1959,210000,2,1,1,3,37,1,0,0,1,130,0,1,28
1963,375000,2,1,1,4,36,1,1,1,0,258,0,1,30
1978,206000,3,2,2,2,124,1,0,1,1,140,0,1,34
1940,322000,1,1,1,2,41,1,0,1,1,310,2,1,31
1957,125000,1,1,1,3,60,1,0,0,0,90,0,1,43
1961,147000,1,2,1,3,15,1,1,0,0,144,0,1,47
2021,294000,3,1,1,2,44,1,1,0,0,229,0,1,48
1975,265300,2,1,2,2,35,0,0,0,0,213,0,2,9
1986,240000,2,2,1,3,31,0,1,1,0,163,1,1,61
1920,143500,2,1,2,3,70,1,0,0,1,96,0,1,31
1976,245000,1,1,1,1,36,1,1,1,0,324,0,0,56
1979,230000,2,2,1,3,52,1,1,1,0,139,1,1,47
1988,229995,3,2,2,3,68,1,0,0,1,154,0,1,28
1922,288000,2,1,1,3,57,0,0,0,0,222,1,1,54
1986,272500,3,1,2,3,13,1,0,1,0,160,0,1,53
1974,500000,2,1,2,4,117,0,0,1,0,359,0,1,9
1930,165000,1,1,1,1,126,0,1,0,0,178,0,0,17
1972,454000,2,2,1,4,58,1,1,1,0,398,0,1,56
1900,412000,2,5,1,3,42,0,1,0,1,249,2,1,14
2004,155000,2,1,2,2,113,1,1,0,0,118,0,2,17
1972,245000,2,1,1,2,33,1,1,1,0,215,4,0,39
1956,432000,2,1,1,5,37,0,0,0,0,200,0,1,50
1961,155000,1,1,1,3,38,1,1,0,1,118,0,1,32
1998,249900,2,1,3,3,54,1,1,0,1,138,0,2,18
1979,209500,2,1,3,2,54,0,1,1,0,222,0,0,49
1957,823500,3,2,1,4,70,0,1,0,1,395,4,1,16
1975,115000,2,1,1,3,149,1,1,1,0,51,0,1,43
1986,810000,3,2,3,5,59,1,0,1,1,291,0,1,3
2023,903000,4,3,2,5,24,1,0,0,0,266,1,1,56
1943,779000,3,2,1,3,23,1,1,1,1,453,4,1,16
2007,280000,3,1,2,3,130,1,1,1,0,185,0,2,53
1950,305000,2,1,1,4,54,0,0,1,1,153,0,1,29
1891,120000,2,1,2,3,32,0,0,0,1,90,0,2,64
2015,400000,3,1,2,3,106,1,0,0,0,229,4,0,26
2015,609000,3,3,1,3,95,1,1,1,1,210,1,1,34
1839,305000,1,1,2,4,113,0,0,0,1,272,0,1,52
2004,200000,2,2,2,3,43,1,1,0,1,148,0,1,13
1979,345000,2,2,1,3,32,0,0,0,0,220,1,1,24
1978,505000,2,2,1,4,112,1,1,1,0,319,0,1,56
1960,225000,2,1,2,3,41,0,1,0,1,123,0,1,32
1894,220000,1,1,1,2,27,0,0,0,1,275,1,0,52
1994,227000,2,2,2,4,65,1,1,0,0,140,0,1,12
1985,274000,2,2,2,2,181,1,1,0,0,227,0,0,17
1973,320000,3,1,1,3,172,1,1,0,1,135,0,1,18
1956,187000,1,1,1,3,51,1,1,0,1,173,0,1,34
1966,162250,1,1,1,3,181,0,0,0,1,110,1,1,10
1986,230000,1,1,2,1,50,0,0,1,0,283,0,0,56
2007,260000,3,1,2,3,-5,1,1,1,0,172,0,1,12
1900,150000,1,1,3,5,57,0,0,0,1,82,0,2,64
2016,559900,3,2,1,4,43,1,1,1,0,261,1,1,62
1875,950000,2,1,2,3,117,0,1,1,1,621,2,0,8
1990,515000,3,2,2,4,53,1,1,1,0,271,0,1,56
1966,58075,0,1,1,0,67,0,0,0,0,32,0,1,12
1945,621000,1,1,1,2,0,0,1,1,0,621,3,1,8
1984,185000,3,1,1,2,69,1,1,1,1,120,0,0,0
2002,685000,3,1,2,3,128,1,1,0,1,323,0,2,55
1896,105000,1,1,3,5,160,0,0,0,1,63,0,2,64
1961,290000,2,1,1,3,44,1,0,0,0,245,0,1,53
1968,188000,2,2,1,3,43,1,0,0,0,148,0,1,47
1977,425000,2,2,1,4,209,0,0,1,0,230,0,1,9
1960,395000,2,2,2,3,37,0,0,0,1,260,1,1,52
1985,154000,2,1,2,3,55,1,0,0,0,144,0,2,18
1960,389900,2,1,1,3,35,0,0,0,0,286,4,1,50
1966,56000,1,1,1,2,20,0,0,0,0,63,0,1,36
1925,665000,3,1,2,3,41,1,1,0,1,489,1,0,8
1967,178000,2,1,1,4,62,1,1,1,0,94,1,1,43
1951,312000,1,1,1,2,36,0,0,0,0,346,4,1,58
1972,293500,1,1,1,3,78,1,1,1,1,257,0,1,0
1967,68000,1,1,1,1,53,1,0,0,0,95,0,0,62
2000,1000000,2,1,1,3,44,0,1,1,1,293,7,1,22
1960,625000,2,1,4,4,103,1,1,0,1,369,0,1,3
1965,376500,3,1,2,4,23,1,1,1,1,155,0,1,54
1953,106900,1,1,1,2,21,0,0,0,0,56,0,1,32
1947,224900,2,1,1,2,39,1,0,0,1,312,1,1,57
2018,620000,5,2,3,6,109,1,1,1,1,112,0,1,7
1984,590000,4,2,2,4,41,1,1,1,1,220,1,1,39
1920,637500,2,1,1,2,0,1,1,0,1,628,3,0,8
1960,197000,3,2,1,3,60,0,1,0,1,103,0,1,17
2004,315000,3,2,2,3,126,1,1,1,0,205,0,1,53
2022,439900,4,2,2,4,102,1,1,0,1,144,4,1,43
1969,287500,2,1,1,2,38,1,1,0,0,282,2,0,3
2005,242000,2,1,1,2,62,1,1,0,0,156,0,0,28
1962,60000,2,1,1,3,322,0,0,0,0,34,0,1,43
1919,170000,2,1,1,1,68,0,0,0,1,297,1,1,57
2006,299000,2,2,1,3,37,1,1,1,0,175,1,1,62
2019,304000,3,2,1,4,227,1,1,1,1,229,0,2,17
1957,204000,2,1,1,3,49,1,1,1,1,212,0,1,32
1953,260000,1,2,1,2,68,1,1,1,1,220,0,1,0
1960,255000,2,1,1,3,37,1,1,1,0,242,0,1,12
1948,280000,1,2,1,2,64,1,0,1,0,217,1,1,31
2015,455555,3,2,1,4,35,1,1,1,1,128,0,1,18
2019,710000,4,2,3,3,14,1,1,1,0,395,1,2,59
2006,340000,3,1,2,4,58,1,1,1,0,196,0,1,30
1925,707000,3,2,2,3,85,1,0,1,1,216,1,1,34
2006,439000,3,1,2,2,124,0,1,1,0,262,1,1,49
1976,190000,3,2,2,3,-4,0,0,1,0,71,0,1,36
2013,545900,3,2,2,4,147,1,1,1,0,206,0,2,30
2020,810000,3,3,1,4,38,1,1,1,0,303,1,1,62
1973,219000,1,2,1,1,62,1,1,0,0,345,0,0,16
1947,412000,2,2,2,3,49,0,0,1,1,181,2,1,52
1900,490000,1,1,1,2,104,0,1,0,1,555,2,0,8
1994,180000,2,1,2,3,31,1,0,0,0,142,0,2,18
1958,220000,2,2,1,3,26,0,0,0,1,219,0,1,17
1966,115000,3,1,2,4,86,0,0,0,0,32,0,1,22
1912,220000,2,1,3,4,187,0,0,0,1,134,0,2,64
2002,415000,2,2,1,4,69,1,1,1,0,195,0,1,62
1965,433000,2,1,1,3,29,1,0,0,0,268,2,1,3
1870,235000,3,1,1,4,67,1,1,0,1,117,0,2,0
1948,63000,1,1,1,3,61,1,0,0,0,48,0,1,43
1977,382000,2,2,1,3,86,0,0,1,0,318,2,1,58
1965,267000,2,1,2,2,53,0,0,0,0,238,1,2,50
1971,470000,2,2,1,3,21,1,1,1,1,290,1,1,34
1985,392000,2,2,1,3,34,1,1,1,0,346,2,1,56
1951,144815,1,1,1,3,-3,0,1,0,1,106,0,1,0
1969,237050,3,1,2,4,56,1,1,1,1,115,0,1,32
1986,275000,3,1,1,3,147,1,0,0,1,211,0,1,28
1956,231650,1,2,1,2,44,1,0,1,1,232,1,1,31
1940,245000,2,2,2,3,50,1,1,0,1,176,0,1,17
1916,705000,4,2,2,4,71,1,1,1,1,271,3,1,57
1955,755000,3,1,1,4,22,1,1,0,1,338,4,1,16
2014,452000,3,2,2,4,87,0,1,1,0,233,0,1,65
1999,229000,2,2,1,2,102,1,0,1,0,140,0,0,28
1915,905000,5,1,2,6,68,1,1,1,1,216,0,1,53
1999,485000,3,2,2,4,154,1,1,1,0,230,0,1,49
2002,900000,3,3,2,5,28,1,1,1,0,219,1,1,56
1987,385000,3,2,2,4,51,1,1,1,1,173,0,1,28
1955,250000,2,1,1,3,74,1,1,0,0,220,0,1,18
2000,700000,3,3,2,4,80,0,0,1,0,258,1,1,9
1958,79000,1,1,1,3,36,1,0,0,0,92,0,1,62
1971,465000,2,2,1,3,112,0,0,1,0,249,1,1,9
2018,250000,2,1,2,3,81,1,1,0,1,204,0,2,18
2001,245000,2,2,1,3,80,1,1,1,0,140,0,1,43
1985,675000,4,3,2,4,60,1,1,1,1,182,1,1,60
1935,262500,1,1,2,3,62,1,0,1,1,209,0,1,34
1940,144000,1,1,1,2,44,1,1,0,0,134,0,1,12
1951,265000,2,1,1,3,38,0,0,0,0,146,1,1,29
1955,115000,1,1,1,2,87,0,0,0,0,152,0,1,36
2009,427900,3,2,2,3,33,1,1,1,1,218,1,1,28
1995,260000,3,2,1,3,74,1,1,0,1,136,0,1,34
1964,75000,2,1,1,3,30,0,0,0,0,75,0,1,36
1976,435000,2,2,1,3,53,0,0,1,0,304,0,1,9
2010,393000,3,2,2,3,8,1,0,0,1,182,1,1,35
1994,211000,2,1,1,3,34,1,1,1,0,200,0,1,62
1988,236000,2,2,2,3,128,1,0,1,0,151,1,1,31
1988,205000,3,1,1,2,161,1,1,0,0,160,0,0,0
1966,175550,2,1,1,4,25,0,0,0,1,99,0,1,22
1966,64975,0,1,1,0,67,0,0,0,0,36,0,1,12
1961,700000,3,2,1,3,36,0,0,0,0,317,7,1,50
1925,100000,1,1,1,3,162,1,0,0,1,93,0,1,31
2017,737000,5,3,2,5,62,1,1,1,1,188,0,1,34
2014,225000,2,2,1,3,50,0,1,0,0,168,1,1,22
1897,153000,1,1,3,3,21,0,0,0,1,111,0,1,64
1957,349900,2,1,1,3,67,0,0,0,0,303,3,1,50
1992,331000,2,2,2,4,-9,1,1,0,0,147,0,1,12
1886,130000,1,1,1,2,37,0,0,0,1,72,1,1,64
